date,entity_id,brand,product_name,category,event_type,event_title,event_description,impact_direction,linked_marker_date,linked_marker_type,signal_story,priority
2025-02-02,101,SoundWave,SoundPods X3,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-02-02,event,New color/variant announcement,medium
2025-02-06,101,SoundWave,SoundPods X3,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-02-06,event,Inventory shortage signal,high
2025-02-27,101,SoundWave,SoundPods X3,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-27,event,Flash discount campaign,medium
2025-03-03,101,SoundWave,SoundPods X3,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-03-03,event,Inventory shortage signal,high
2025-03-09,101,SoundWave,SoundPods X3,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-03-09,event,New color/variant announcement,medium
2025-03-13,101,SoundWave,SoundPods X3,earbuds,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-03-13,event,Paid campaign burst,medium
2025-01-25,102,EchoTech,EchoBeats Lite,earbuds,price_hike,Price Increase,List price increase,negative,2025-01-25,event,List price increase,high
2025-02-08,102,EchoTech,EchoBeats Lite,earbuds,listing_update,Listing Refresh,Media and copy update,positive,2025-02-08,event,Media and copy update,medium
2025-02-10,102,EchoTech,EchoBeats Lite,earbuds,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-02-10,event,Paid campaign burst,medium
2025-03-20,102,EchoTech,EchoBeats Lite,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-03-20,event,Inventory shortage signal,medium
2025-03-22,102,EchoTech,EchoBeats Lite,earbuds,price_hike,Price Increase,List price increase,negative,2025-03-22,event,List price increase,high
2025-01-13,103,PureAudio,PureSound Elite,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-13,event,Flash discount campaign,high
2025-01-16,103,PureAudio,PureSound Elite,earbuds,listing_update,Listing Refresh,Media and copy update,positive,2025-01-16,event,Media and copy update,high
2025-01-25,103,PureAudio,PureSound Elite,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-25,event,Flash discount campaign,medium
2025-02-24,103,PureAudio,PureSound Elite,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-24,event,Flash discount campaign,medium
2025-03-20,103,PureAudio,PureSound Elite,earbuds,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-03-20,event,Paid campaign burst,medium
2025-01-11,104,TechGear,TechBuds Pro,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-01-11,event,Inventory shortage signal,high
2025-02-08,104,TechGear,TechBuds Pro,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-02-08,event,New color/variant announcement,high
2025-02-22,104,TechGear,TechBuds Pro,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-22,event,Flash discount campaign,high
2025-02-26,104,TechGear,TechBuds Pro,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-02-26,event,New color/variant announcement,high
2025-03-03,104,TechGear,TechBuds Pro,earbuds,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-03-03,event,Paid campaign burst,high
2025-01-06,105,ZenAudio,ZenEar Flex,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-01-06,event,Inventory shortage signal,high
2025-02-11,105,ZenAudio,ZenEar Flex,earbuds,listing_update,Listing Refresh,Media and copy update,positive,2025-02-11,event,Media and copy update,high
2025-02-26,105,ZenAudio,ZenEar Flex,earbuds,price_hike,Price Increase,List price increase,negative,2025-02-26,event,List price increase,high
2025-03-03,105,ZenAudio,ZenEar Flex,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-03-03,event,New color/variant announcement,medium
2025-03-10,105,ZenAudio,ZenEar Flex,earbuds,listing_update,Listing Refresh,Media and copy update,positive,2025-03-10,event,Media and copy update,medium
2025-03-25,105,ZenAudio,ZenEar Flex,earbuds,listing_update,Listing Refresh,Media and copy update,positive,2025-03-25,event,Media and copy update,medium
2025-01-15,201,NovaTech,NovaPhone S22,smartphones,listing_update,Listing Refresh,Media and copy update,positive,2025-01-15,event,Media and copy update,high
2025-02-02,201,NovaTech,NovaPhone S22,smartphones,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-02-02,event,Paid campaign burst,high
2025-02-06,201,NovaTech,NovaPhone S22,smartphones,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-02-06,event,New color/variant announcement,high
2025-02-16,201,NovaTech,NovaPhone S22,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-16,event,Flash discount campaign,high
2025-03-13,201,NovaTech,NovaPhone S22,smartphones,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-03-13,event,Inventory shortage signal,high
2025-01-05,202,MaxMobile,BudgetMax 5G,smartphones,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-01-05,event,Paid campaign burst,medium
2025-01-09,202,MaxMobile,BudgetMax 5G,smartphones,listing_update,Listing Refresh,Media and copy update,positive,2025-01-09,event,Media and copy update,high
2025-01-26,202,MaxMobile,BudgetMax 5G,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-26,event,Flash discount campaign,high
2025-02-12,202,MaxMobile,BudgetMax 5G,smartphones,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-02-12,event,Paid campaign burst,high
2025-03-27,202,MaxMobile,BudgetMax 5G,smartphones,price_hike,Price Increase,List price increase,negative,2025-03-27,event,List price increase,medium
2025-01-21,203,CoreMobile,MidCore X8,smartphones,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-01-21,event,Inventory shortage signal,medium
2025-01-31,203,CoreMobile,MidCore X8,smartphones,price_hike,Price Increase,List price increase,negative,2025-01-31,event,List price increase,high
2025-02-15,203,CoreMobile,MidCore X8,smartphones,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-02-15,event,Paid campaign burst,medium
2025-02-27,203,CoreMobile,MidCore X8,smartphones,price_hike,Price Increase,List price increase,negative,2025-02-27,event,List price increase,high
2025-02-28,203,CoreMobile,MidCore X8,smartphones,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-02-28,event,Inventory shortage signal,high
2025-03-14,203,CoreMobile,MidCore X8,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-03-14,event,Flash discount campaign,medium
2025-02-23,204,LegacyCo,LegacyPro 11,smartphones,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-02-23,event,Inventory shortage signal,medium
2025-03-07,204,LegacyCo,LegacyPro 11,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-03-07,event,Flash discount campaign,high
2025-03-14,204,LegacyCo,LegacyPro 11,smartphones,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-03-14,event,New color/variant announcement,high
2025-03-16,204,LegacyCo,LegacyPro 11,smartphones,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-03-16,event,Inventory shortage signal,high
2025-03-22,204,LegacyCo,LegacyPro 11,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-03-22,event,Flash discount campaign,medium
2025-01-08,205,SwiftTech,SwiftPhone Z1,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-08,event,Flash discount campaign,high
2025-01-10,205,SwiftTech,SwiftPhone Z1,smartphones,listing_update,Listing Refresh,Media and copy update,positive,2025-01-10,event,Media and copy update,medium
2025-01-16,205,SwiftTech,SwiftPhone Z1,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-16,event,Flash discount campaign,high
2025-01-31,205,SwiftTech,SwiftPhone Z1,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-31,event,Flash discount campaign,high
2025-02-19,205,SwiftTech,SwiftPhone Z1,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-19,event,Flash discount campaign,high
2025-03-10,205,SwiftTech,SwiftPhone Z1,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-03-10,event,Flash discount campaign,high
2025-01-11,301,FitTech,FitPulse Watch,smartwatches,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-01-11,event,Inventory shortage signal,medium
2025-01-20,301,FitTech,FitPulse Watch,smartwatches,price_hike,Price Increase,List price increase,negative,2025-01-20,event,List price increase,high
2025-02-06,301,FitTech,FitPulse Watch,smartwatches,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-02-06,event,Inventory shortage signal,high
2025-02-25,301,FitTech,FitPulse Watch,smartwatches,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-25,event,Flash discount campaign,medium
2025-01-05,302,LuxBrand,LuxTime Pro,smartwatches,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-05,event,Flash discount campaign,medium
2025-02-02,302,LuxBrand,LuxTime Pro,smartwatches,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-02-02,event,New color/variant announcement,medium
2025-02-13,302,LuxBrand,LuxTime Pro,smartwatches,listing_update,Listing Refresh,Media and copy update,positive,2025-02-13,event,Media and copy update,medium
2025-03-03,302,LuxBrand,LuxTime Pro,smartwatches,listing_update,Listing Refresh,Media and copy update,positive,2025-03-03,event,Media and copy update,medium
2025-01-05,303,GearBudget,BudgetWatch G5,smartwatches,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-01-05,event,Inventory shortage signal,high
2025-01-23,303,GearBudget,BudgetWatch G5,smartwatches,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-01-23,event,Paid campaign burst,high
2025-02-28,303,GearBudget,BudgetWatch G5,smartwatches,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-02-28,event,Inventory shortage signal,high
2025-03-15,303,GearBudget,BudgetWatch G5,smartwatches,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-03-15,event,Paid campaign burst,high
2025-01-15,304,ActiveTech,ActiveBand X2,smartwatches,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-15,event,Flash discount campaign,medium
2025-01-23,304,ActiveTech,ActiveBand X2,smartwatches,price_hike,Price Increase,List price increase,negative,2025-01-23,event,List price increase,high
2025-02-03,304,ActiveTech,ActiveBand X2,smartwatches,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-02-03,event,Inventory shortage signal,medium
2025-02-13,304,ActiveTech,ActiveBand X2,smartwatches,listing_update,Listing Refresh,Media and copy update,positive,2025-02-13,event,Media and copy update,medium
2025-03-01,304,ActiveTech,ActiveBand X2,smartwatches,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-03-01,event,Inventory shortage signal,medium
2025-01-19,305,RetroGear,RetroWatch Classic,smartwatches,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-01-19,event,Inventory shortage signal,high
2025-01-24,305,RetroGear,RetroWatch Classic,smartwatches,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-01-24,event,New color/variant announcement,high
2025-01-28,305,RetroGear,RetroWatch Classic,smartwatches,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-28,event,Flash discount campaign,medium
2025-02-11,305,RetroGear,RetroWatch Classic,smartwatches,price_hike,Price Increase,List price increase,negative,2025-02-11,event,List price increase,high
2025-01-12,401,BoomAudio,BoomBox Mini,bluetooth_speakers,price_hike,Price Increase,List price increase,negative,2025-01-12,event,List price increase,medium
2025-01-20,401,BoomAudio,BoomBox Mini,bluetooth_speakers,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-01-20,event,New color/variant announcement,medium
2025-02-06,401,BoomAudio,BoomBox Mini,bluetooth_speakers,price_hike,Price Increase,List price increase,negative,2025-02-06,event,List price increase,high
2025-02-15,401,BoomAudio,BoomBox Mini,bluetooth_speakers,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-02-15,event,Paid campaign burst,high
2025-03-13,401,BoomAudio,BoomBox Mini,bluetooth_speakers,promo,Limited Time Promotion,Flash discount campaign,positive,2025-03-13,event,Flash discount campaign,high
2025-01-06,402,TinyTech,TinySound S1,bluetooth_speakers,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-01-06,event,Paid campaign burst,medium
2025-01-20,402,TinyTech,TinySound S1,bluetooth_speakers,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-01-20,event,New color/variant announcement,high
2025-01-24,402,TinyTech,TinySound S1,bluetooth_speakers,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-01-24,event,Inventory shortage signal,medium
2025-02-13,402,TinyTech,TinySound S1,bluetooth_speakers,price_hike,Price Increase,List price increase,negative,2025-02-13,event,List price increase,medium
2025-02-14,402,TinyTech,TinySound S1,bluetooth_speakers,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-02-14,event,Paid campaign burst,medium
2025-03-14,402,TinyTech,TinySound S1,bluetooth_speakers,promo,Limited Time Promotion,Flash discount campaign,positive,2025-03-14,event,Flash discount campaign,medium
2025-01-18,403,StudioAudio,StudioBeam Pro,bluetooth_speakers,price_hike,Price Increase,List price increase,negative,2025-01-18,event,List price increase,medium
2025-02-03,403,StudioAudio,StudioBeam Pro,bluetooth_speakers,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-03,event,Flash discount campaign,high
2025-02-12,403,StudioAudio,StudioBeam Pro,bluetooth_speakers,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-12,event,Flash discount campaign,high
2025-02-14,403,StudioAudio,StudioBeam Pro,bluetooth_speakers,price_hike,Price Increase,List price increase,negative,2025-02-14,event,List price increase,medium
2025-03-11,403,StudioAudio,StudioBeam Pro,bluetooth_speakers,price_hike,Price Increase,List price increase,negative,2025-03-11,event,List price increase,medium
2025-03-24,403,StudioAudio,StudioBeam Pro,bluetooth_speakers,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-03-24,event,Inventory shortage signal,high
2025-02-04,501,PowerTech,PowerMax 20K,power_banks,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-04,event,Flash discount campaign,high
2025-02-21,501,PowerTech,PowerMax 20K,power_banks,listing_update,Listing Refresh,Media and copy update,positive,2025-02-21,event,Media and copy update,high
2025-03-10,501,PowerTech,PowerMax 20K,power_banks,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-03-10,event,New color/variant announcement,high
2025-03-14,501,PowerTech,PowerMax 20K,power_banks,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-03-14,event,Paid campaign burst,medium
2025-03-18,501,PowerTech,PowerMax 20K,power_banks,price_hike,Price Increase,List price increase,negative,2025-03-18,event,List price increase,medium
2025-03-19,501,PowerTech,PowerMax 20K,power_banks,price_hike,Price Increase,List price increase,negative,2025-03-19,event,List price increase,high
2025-01-15,502,SlimPower,SlimCharge Lite,power_banks,listing_update,Listing Refresh,Media and copy update,positive,2025-01-15,event,Media and copy update,medium
2025-02-16,502,SlimPower,SlimCharge Lite,power_banks,listing_update,Listing Refresh,Media and copy update,positive,2025-02-16,event,Media and copy update,medium
2025-02-19,502,SlimPower,SlimCharge Lite,power_banks,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-02-19,event,New color/variant announcement,high
2025-02-26,502,SlimPower,SlimCharge Lite,power_banks,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-02-26,event,New color/variant announcement,high
2025-03-01,502,SlimPower,SlimCharge Lite,power_banks,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-03-01,event,New color/variant announcement,high
2025-03-21,502,SlimPower,SlimCharge Lite,power_banks,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-03-21,event,Paid campaign burst,high
2025-01-13,503,LuxAudio,AirLux Elite,earbuds,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-01-13,event,Paid campaign burst,medium
2025-02-08,503,LuxAudio,AirLux Elite,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-02-08,event,Inventory shortage signal,medium
2025-02-15,503,LuxAudio,AirLux Elite,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-02-15,event,Inventory shortage signal,high
2025-02-20,503,LuxAudio,AirLux Elite,earbuds,price_hike,Price Increase,List price increase,negative,2025-02-20,event,List price increase,high
2025-03-07,503,LuxAudio,AirLux Elite,earbuds,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-03-07,event,Paid campaign burst,high
2025-03-16,503,LuxAudio,AirLux Elite,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-03-16,event,New color/variant announcement,medium
2025-02-07,504,FlashGear,FlashBeats X1,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-07,event,Flash discount campaign,high
2025-02-11,504,FlashGear,FlashBeats X1,earbuds,price_hike,Price Increase,List price increase,negative,2025-02-11,event,List price increase,high
2025-02-19,504,FlashGear,FlashBeats X1,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-19,event,Flash discount campaign,high
2025-03-08,504,FlashGear,FlashBeats X1,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-03-08,event,Flash discount campaign,high
2025-03-10,504,FlashGear,FlashBeats X1,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-03-10,event,New color/variant announcement,medium
2025-03-13,504,FlashGear,FlashBeats X1,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-03-13,event,Inventory shortage signal,high
2025-01-18,505,ClearWave,ClearPod Slim,earbuds,listing_update,Listing Refresh,Media and copy update,positive,2025-01-18,event,Media and copy update,high
2025-02-09,505,ClearWave,ClearPod Slim,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-02-09,event,New color/variant announcement,high
2025-02-26,505,ClearWave,ClearPod Slim,earbuds,price_hike,Price Increase,List price increase,negative,2025-02-26,event,List price increase,high
2025-03-14,505,ClearWave,ClearPod Slim,earbuds,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-03-14,event,Paid campaign burst,high
2025-03-22,505,ClearWave,ClearPod Slim,earbuds,price_hike,Price Increase,List price increase,negative,2025-03-22,event,List price increase,high
2025-01-11,506,HyperTech,HyperPhone Pro,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-11,event,Flash discount campaign,medium
2025-02-18,506,HyperTech,HyperPhone Pro,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-18,event,Flash discount campaign,medium
2025-02-25,506,HyperTech,HyperPhone Pro,smartphones,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-02-25,event,Inventory shortage signal,high
2025-02-26,506,HyperTech,HyperPhone Pro,smartphones,listing_update,Listing Refresh,Media and copy update,positive,2025-02-26,event,Media and copy update,medium
2025-03-23,506,HyperTech,HyperPhone Pro,smartphones,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-03-23,event,Inventory shortage signal,medium
2025-01-24,507,ValueMobile,ValueMax 5G,smartphones,price_hike,Price Increase,List price increase,negative,2025-01-24,event,List price increase,medium
2025-01-27,507,ValueMobile,ValueMax 5G,smartphones,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-01-27,event,New color/variant announcement,high
2025-01-28,507,ValueMobile,ValueMax 5G,smartphones,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-01-28,event,Paid campaign burst,medium
