date,entity_id,brand,product_name,category,price_index,demand_index,sentiment_index,search_index,ad_index,event_type,event_title,event_description,impact_direction,signal_story,priority,event_effect_hint
2025-04-01,101,SoundWave,SoundPods X3,earbuds,63.12,39.8,0.58,41.2,3.9,ad_campaign,Flash Sale Boost,Discount campaign on earbuds,positive,Spike in search and ad impressions driving demand,high,ad_boost
2025-04-01,201,NovaTech,NovaPhone S22,smartphones,462.8,36.4,0.52,47.1,5.3,organic,No active event,Stable organic demand,neutral,Consistent demand with mild sentiment dip,medium,organic_continuation
2025-04-01,301,FitTech,FitPulse Watch,smartwatches,135.7,28.1,0.61,44.3,4.1,review_spike,Positive Reviews Surge,Recent increase in positive reviews,positive,Sentiment uplift slightly improving demand,medium,sentiment_boost
2025-04-01,401,BoomAudio,BoomBox Mini,bluetooth_speakers,182.5,27.9,0.49,40.8,3.5,stock_issue,Low Stock Warning,Inventory shortage reported,negative,Search steady but demand suppressed due to stock,high,stock_drop
2025-04-01,501,PowerTech,PowerMax 20K,power_banks,76.2,24.3,0.54,48.6,2.9,price_drop,Price Discount,Price reduced to increase sales,positive,Search increased slightly due to pricing change,medium,price_effect
2025-04-01,524,SlateTab,SlateMax 11,tablets,789.5,27.2,0.57,43.0,5.9,ad_campaign,Tablet Promo Ads,Heavy ad promotion campaign,positive,Ad-driven visibility improving demand gradually,high,ad_boost
2025-04-01,601,ClearAudio,ClearSound H7,headphones,242.7,38.2,0.62,48.1,5.8,organic,No active event,Stable mid-month headphone demand,neutral,Organic continuation with steady audio category interest,low,organic_continuation
2025-04-02,101,SoundWave,SoundPods X3,earbuds,63.12,40.3,0.59,41.4,3.9,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-02,201,NovaTech,NovaPhone S22,smartphones,462.8,37.3,0.52,47.5,5.4,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-02,301,FitTech,FitPulse Watch,smartwatches,135.7,29.0,0.61,44.9,4.3,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-02,401,BoomAudio,BoomBox Mini,bluetooth_speakers,184.32,25.3,0.46,42.2,3.2,stock_issue,Portable Speaker Low Stock,Distribution gap limits near-term inventory,negative,Search holds but sell-through weakens,high,stock_drop
2025-04-02,501,PowerTech,PowerMax 20K,power_banks,76.2,24.1,0.53,49.5,2.9,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-02,524,SlateTab,SlateMax 11,tablets,789.5,26.4,0.57,43.9,5.4,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-02,601,ClearAudio,ClearSound H7,headphones,242.7,37.3,0.62,49.1,5.4,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-03,101,SoundWave,SoundPods X3,earbuds,63.12,42.8,0.59,46.3,6.2,ad_campaign,Summer Audio Flash Sale,3-day paid push around earbuds weekend deal,positive,"Paid ads lift visibility first, then search converts to demand",high,ad_boost
2025-04-03,201,NovaTech,NovaPhone S22,smartphones,462.8,38.1,0.53,48.1,5.5,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-03,301,FitTech,FitPulse Watch,smartwatches,135.7,29.7,0.61,45.6,4.5,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-03,401,BoomAudio,BoomBox Mini,bluetooth_speakers,185.21,23.9,0.45,43.0,3.1,organic,No active event,Baseline category demand with no major trigger,neutral,Demand easing as prior momentum cools and baseline normalizes,low,organic_continuation
2025-04-03,501,PowerTech,PowerMax 20K,power_banks,76.2,23.8,0.53,50.2,2.8,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-03,524,SlateTab,SlateMax 11,tablets,789.5,25.6,0.57,44.6,5.0,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-03,601,ClearAudio,ClearSound H7,headphones,242.7,36.6,0.63,49.8,5.0,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-04,101,SoundWave,SoundPods X3,earbuds,63.12,46.5,0.6,49.2,7.5,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,medium,organic_continuation
2025-04-04,201,NovaTech,NovaPhone S22,smartphones,462.8,38.8,0.53,48.7,5.6,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-04,301,FitTech,FitPulse Watch,smartwatches,135.7,31.1,0.64,47.7,4.6,review_spike,Fitness Challenge Buzz,Workout challenge users post strong watch feedback,positive,Sentiment and search both improve gradually,medium,sentiment_boost
2025-04-04,401,BoomAudio,BoomBox Mini,bluetooth_speakers,184.89,23.6,0.44,43.6,3.1,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-04,501,PowerTech,PowerMax 20K,power_banks,76.2,23.7,0.53,50.9,2.7,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-04,524,SlateTab,SlateMax 11,tablets,789.5,25.1,0.57,45.1,4.6,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-04,601,ClearAudio,ClearSound H7,headphones,242.7,36.3,0.63,50.3,4.7,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-05,101,SoundWave,SoundPods X3,earbuds,63.12,49.4,0.6,50.8,8.2,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,medium,organic_continuation
2025-04-05,201,NovaTech,NovaPhone S22,smartphones,462.8,39.5,0.53,49.9,5.7,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-05,301,FitTech,FitPulse Watch,smartwatches,135.7,32.9,0.65,49.8,4.7,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,medium,organic_continuation
2025-04-05,401,BoomAudio,BoomBox Mini,bluetooth_speakers,184.6,24.5,0.44,44.7,3.1,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-05,501,PowerTech,PowerMax 20K,power_banks,76.2,23.6,0.52,51.9,2.5,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-05,524,SlateTab,SlateMax 11,tablets,789.5,26.7,0.57,50.5,6.4,ad_campaign,Study & Stream Tablet Push,Ads focus on study plus entertainment use cases,positive,Visibility gains show up in search and later demand,high,ad_boost
2025-04-05,601,ClearAudio,ClearSound H7,headphones,242.7,36.5,0.63,51.1,4.4,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-06,101,SoundWave,SoundPods X3,earbuds,63.12,50.6,0.6,50.8,8.1,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,low,organic_continuation
2025-04-06,201,NovaTech,NovaPhone S22,smartphones,462.8,40.0,0.52,51.0,5.8,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-06,301,FitTech,FitPulse Watch,smartwatches,135.7,34.0,0.65,51.1,4.8,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-06,401,BoomAudio,BoomBox Mini,bluetooth_speakers,184.35,25.1,0.45,45.5,3.1,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-06,501,PowerTech,PowerMax 20K,power_banks,72.01,25.8,0.53,55.1,2.6,price_drop,Travel Season Promo,Power bank price trimmed before travel demand week,positive,Search and demand improve on better value,high,price_effect
2025-04-06,524,SlateTab,SlateMax 11,tablets,789.5,29.6,0.58,53.4,7.3,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,medium,organic_continuation
2025-04-06,601,ClearAudio,ClearSound H7,headphones,242.7,37.0,0.64,51.6,4.3,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-07,101,SoundWave,SoundPods X3,earbuds,63.12,51.2,0.6,50.3,8.0,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-07,201,NovaTech,NovaPhone S22,smartphones,462.8,41.1,0.56,52.8,5.9,review_spike,Camera Review Uplift,Strong user reviews on camera quality trend upward,positive,Sentiment strengthens and lifts consideration,medium,sentiment_boost
2025-04-07,301,FitTech,FitPulse Watch,smartwatches,135.7,33.4,0.64,50.9,4.8,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-07,401,BoomAudio,BoomBox Mini,bluetooth_speakers,184.13,25.1,0.45,45.4,2.9,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-07,501,PowerTech,PowerMax 20K,power_banks,69.25,27.1,0.53,56.5,2.6,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,low,organic_continuation
2025-04-07,524,SlateTab,SlateMax 11,tablets,789.5,31.4,0.58,53.7,7.6,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,medium,organic_continuation
2025-04-07,601,ClearAudio,ClearSound H7,headphones,242.7,37.2,0.64,51.2,4.2,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-08,101,SoundWave,SoundPods X3,earbuds,63.12,51.4,0.6,49.8,7.9,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-08,201,NovaTech,NovaPhone S22,smartphones,462.8,42.3,0.57,53.9,5.9,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,low,organic_continuation
2025-04-08,301,FitTech,FitPulse Watch,smartwatches,135.7,32.7,0.63,50.6,4.8,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-08,401,BoomAudio,BoomBox Mini,bluetooth_speakers,183.93,25.0,0.45,45.3,2.8,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-08,501,PowerTech,PowerMax 20K,power_banks,69.0,27.5,0.53,56.6,2.4,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-08,524,SlateTab,SlateMax 11,tablets,789.5,31.8,0.58,52.3,7.1,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-08,601,ClearAudio,ClearSound H7,headphones,242.7,39.4,0.64,55.1,6.3,ad_campaign,Immersive Audio Campaign,Ads highlight ANC and commute comfort,positive,Ad burst increases search and assisted demand,medium,ad_boost
2025-04-09,101,SoundWave,SoundPods X3,earbuds,63.12,51.3,0.6,49.3,7.9,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-09,201,NovaTech,NovaPhone S22,smartphones,462.8,42.8,0.56,54.1,5.9,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-09,301,FitTech,FitPulse Watch,smartwatches,135.7,31.8,0.62,50.2,4.7,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-09,401,BoomAudio,BoomBox Mini,bluetooth_speakers,183.76,26.8,0.46,49.4,4.8,ad_campaign,Weekend Party Audio Ads,Campaign promotes compact speaker for gatherings,positive,Ad-driven search lift improves demand with slight lag,medium,ad_boost
2025-04-09,501,PowerTech,PowerMax 20K,power_banks,69.86,26.9,0.53,55.5,2.1,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-09,524,SlateTab,SlateMax 11,tablets,789.5,32.1,0.58,50.8,6.7,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-09,601,ClearAudio,ClearSound H7,headphones,242.7,42.5,0.65,56.8,7.6,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,medium,organic_continuation
2025-04-10,101,SoundWave,SoundPods X3,earbuds,63.12,50.9,0.59,48.8,7.8,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-10,201,NovaTech,NovaPhone S22,smartphones,462.8,41.9,0.55,53.6,5.9,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-10,301,FitTech,FitPulse Watch,smartwatches,135.7,31.0,0.61,49.6,4.5,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-10,401,BoomAudio,BoomBox Mini,bluetooth_speakers,183.61,29.6,0.47,51.2,5.8,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,medium,organic_continuation
2025-04-10,501,PowerTech,PowerMax 20K,power_banks,70.62,26.4,0.53,54.3,1.9,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-10,524,SlateTab,SlateMax 11,tablets,789.5,32.3,0.59,49.2,6.4,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-10,601,ClearAudio,ClearSound H7,headphones,242.7,44.6,0.65,56.5,8.2,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,medium,organic_continuation
2025-04-11,101,SoundWave,SoundPods X3,earbuds,63.12,50.2,0.59,48.2,7.7,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-11,201,NovaTech,NovaPhone S22,smartphones,462.8,40.9,0.54,53.0,5.8,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-11,301,FitTech,FitPulse Watch,smartwatches,128.24,32.6,0.61,51.4,4.6,price_drop,Weekend Strap Bundle Offer,Bundle pricing improves perceived value,positive,Demand reacts faster than sentiment,medium,price_effect
2025-04-11,401,BoomAudio,BoomBox Mini,bluetooth_speakers,183.47,31.4,0.47,51.0,6.2,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,medium,organic_continuation
2025-04-11,501,PowerTech,PowerMax 20K,power_banks,71.29,26.4,0.53,53.1,1.8,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-11,524,SlateTab,SlateMax 11,tablets,789.5,32.4,0.59,47.6,6.2,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-11,601,ClearAudio,ClearSound H7,headphones,242.7,44.9,0.65,54.6,8.1,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-12,101,SoundWave,SoundPods X3,earbuds,63.75,46.7,0.56,48.7,7.3,stock_issue,Warehouse Fulfillment Delay,Popular color variant sees short stock constraint,negative,Search stays warm but conversions soften due to availability,high,stock_drop
2025-04-12,201,NovaTech,NovaPhone S22,smartphones,462.8,40.0,0.53,52.8,5.6,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-12,301,FitTech,FitPulse Watch,smartwatches,125.0,33.7,0.61,52.6,4.6,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-12,401,BoomAudio,BoomBox Mini,bluetooth_speakers,183.36,32.0,0.47,49.7,5.7,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-12,501,PowerTech,PowerMax 20K,power_banks,71.88,26.6,0.54,52.5,1.6,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-12,524,SlateTab,SlateMax 11,tablets,797.39,29.5,0.57,47.4,5.6,stock_issue,High-Storage Variant Tightness,Higher storage variant sees limited availability,negative,Demand gets capped even as awareness stays steady,high,stock_drop
2025-04-12,601,ClearAudio,ClearSound H7,headphones,242.7,45.3,0.65,53.5,7.9,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-13,101,SoundWave,SoundPods X3,earbuds,64.06,44.4,0.55,48.5,7.0,organic,No active event,Baseline category demand with no major trigger,neutral,Demand easing as prior momentum cools and baseline normalizes,medium,organic_continuation
2025-04-13,201,NovaTech,NovaPhone S22,smartphones,462.8,39.2,0.52,52.4,5.4,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-13,301,FitTech,FitPulse Watch,smartwatches,125.0,34.0,0.6,52.7,4.3,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-13,401,BoomAudio,BoomBox Mini,bluetooth_speakers,183.25,32.6,0.47,48.4,5.2,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-13,501,PowerTech,PowerMax 20K,power_banks,72.4,28.5,0.54,56.3,3.7,ad_campaign,Backup Power Awareness Ads,Ads target commuters and travelers,positive,Awareness boost lifts search first then demand,medium,ad_boost
2025-04-13,524,SlateTab,SlateMax 11,tablets,801.23,28.0,0.56,46.7,5.3,organic,No active event,Baseline category demand with no major trigger,neutral,Demand easing as prior momentum cools and baseline normalizes,medium,organic_continuation
2025-04-13,601,ClearAudio,ClearSound H7,headphones,242.7,45.4,0.65,52.5,7.9,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-14,101,SoundWave,SoundPods X3,earbuds,63.95,43.0,0.54,47.3,6.8,organic,No active event,Baseline category demand with no major trigger,neutral,Demand easing as prior momentum cools and baseline normalizes,low,organic_continuation
2025-04-14,201,NovaTech,NovaPhone S22,smartphones,462.8,40.1,0.52,55.8,7.4,ad_campaign,Exchange Bonus Campaign,Performance ads around phone exchange offer,positive,Ad intensity drives search and delayed demand lift,high,ad_boost
2025-04-14,301,FitTech,FitPulse Watch,smartwatches,126.28,33.0,0.6,50.9,4.0,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-14,401,BoomAudio,BoomBox Mini,bluetooth_speakers,183.16,32.7,0.47,46.6,4.8,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-14,501,PowerTech,PowerMax 20K,power_banks,72.86,31.4,0.55,57.3,4.9,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,medium,organic_continuation
2025-04-14,524,SlateTab,SlateMax 11,tablets,799.82,27.4,0.56,45.2,5.3,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-14,601,ClearAudio,ClearSound H7,headphones,242.7,44.8,0.65,51.1,7.8,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-15,101,SoundWave,SoundPods X3,earbuds,63.85,42.6,0.55,46.1,6.7,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-15,201,NovaTech,NovaPhone S22,smartphones,462.8,42.2,0.52,57.0,8.4,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,medium,organic_continuation
2025-04-15,301,FitTech,FitPulse Watch,smartwatches,127.41,32.2,0.6,49.2,3.6,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-15,401,BoomAudio,BoomBox Mini,bluetooth_speakers,183.08,32.7,0.48,44.9,4.5,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-15,501,PowerTech,PowerMax 20K,power_banks,73.26,33.1,0.55,56.6,5.5,organic,No active event,Baseline category demand with no major trigger,neutral,Demand improving on carry-over visibility and healthy baseline signals,medium,organic_continuation
2025-04-15,524,SlateTab,SlateMax 11,tablets,798.58,27.7,0.57,44.0,5.3,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
